CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,Latitude,Longitude
903695881,69,0,12/17/2021,22:13:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.6456472,-73.90287589
400462399,113,0,12/17/2021,6:21:00,0,0,COMPLETED,0,0,0,25-44,BLACK,F,40.68249942,-73.78726915
587910690,113,0,12/13/2021,20:05:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.68921806,-73.79144857
186105368,52,BRONX,12/7/2021,22:49:00,0,0,COMPLETED,0,0,0,UNKNOWN,UNKNOWN,E,40.88271781,-73.88124725
185325394,113,0,12/6/2021,17:25:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.69648322,-73.77667979
791525475,44,0,12/5/2021,22:16:00,0,0,COMPLETED,0,0,0,18-24,BLACK HISPANIC,M,40.84196981,-73.91529663
276296223,47,BRONX,12/1/2021,0:01:00,0,0,COMPLETED,0,0,0,UNKNOWN,UNKNOWN,E,40.89547629,-73.87712271
600494269,46,0,11/13/2021,17:49:00,0,0,COMPLETED,0,0,0,25-44,BLACK,F,40.86071698,-73.89925032
477204863,75,0,11/5/2021,23:05:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.67565718,-73.89200235
528992969,73,0,10/28/2021,23:55:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.65563971,-73.91153991
824175212,103,0,10/19/2021,14:50:00,0,0,COMPLETED,0,0,0,18-24,BLACK,M,40.705865,-73.79753162
323944631,7,0,10/15/2021,20:30:00,0,0,COMPLETED,0,0,0,<18,BLACK,M,40.71801219,-73.98658542
379176719,107,0,10/3/2021,7:25:00,0,0,COMPLETED,0,0,0,25-44,WHITE HISPANIC,M,40.71323578,-73.79970961
694082264,106,0,10/2/2021,1:25:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.67461915,-73.80427787
341504228,77,0,9/30/2021,19:03:00,0,0,COMPLETED,0,0,0,18-24,BLACK,M,40.67288015,-73.92369109
936844419,75,0,9/28/2021,18:45:00,0,0,COMPLETED,0,0,0,18-24,BLACK,M,40.66525055,-73.89075759
288891299,101,0,9/26/2021,16:20:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.59625905,-73.76392226
474078722,79,0,9/16/2021,5:15:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.69632895,-73.93771061
843162354,25,0,9/15/2021,1:13:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.80536404,-73.93766276
504183189,9,MANHATTAN,9/12/2021,16:55:00,0,0,COMPLETED,0,0,0,UNKNOWN,UNKNOWN,E,40.72351435,-73.97928228
499084588,79,0,9/10/2021,17:35:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.68933015,-73.94968145
275119984,47,0,9/7/2021,19:35:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.89235093,-73.85643986
715480292,113,0,8/26/2021,1:34:00,0,0,COMPLETED,0,0,0,18-24,BLACK,M,40.69070511,-73.78960127
583220227,40,0,8/15/2021,13:09:00,0,0,COMPLETED,0,0,0,25-44,WHITE HISPANIC,M,40.8142784,-73.91534271
644667510,46,0,8/14/2021,4:11:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.84932069,-73.91235948
754095161,101,0,8/14/2021,0:58:00,0,0,COMPLETED,0,0,0,25-44,BLACK,M,40.59368533,-73.75907038
291569519,52,0,8/13/2021,16:10:00,0,0,COMPLETED,0,0,0,18-24,BLACK,M,40.86232556,-73.89334778
523063535,109,0,8/13/2021,1:00:00,0,0,COMPLETED,0,0,0,18-24,BLACK,F,40.76085005,-73.82925307
468433169,73,0,8/7/2021,2:44:00,0,0,COMPLETED,0,0,0,18-24,WHITE HISPANIC,F,40.66767454,-73.9214477
503398586,25,0,8/4/2021,5:45:00,0,0,COMPLETED,0,0,0,25-44,WHITE HISPANIC,F,40.80051276,-73.93521121
